model,n,r_squared,adj_r_squared,f_statistic,f_p_value,aic,bic
Model 1: WER ~ resource level,50,0.026880379731227144,-0.014528965812125039,0.6491379996113594,0.5271162214106629,334.73406998047517,340.4701389967596
Model 2: WER ~ resource level + transcript/reference condition,50,0.02689232899312577,-0.03657121476819225,0.4237445216464119,0.736873608418961,336.73345600995117,344.3815480316637
Model 3: WER ~ resource level * transcript/reference condition,50,0.07100523084948074,-0.034562356553987206,0.6726044669194372,0.6463365017293556,338.4138746757574,349.8860127083263
