model,n_full,n_reduced,n_dropped,r_squared_full,r_squared_reduced,adj_r_squared_full,adj_r_squared_reduced,model_p_full,model_p_reduced,aic_full,aic_reduced
Model 1,50,49,1,0.026880379731227366,0.021647855330839794,-0.014528965812124817,-0.020889194437384573,0.5271162214106603,0.6044907109607929,334.73406998047517,309.394286486327
Model 2,50,49,1,0.02689232899312577,0.026778177558135385,-0.03657121476819225,-0.038103277271322344,0.736873608418961,0.7446555136469706,336.73345600995117,311.13666225844065
Model 3,50,49,1,0.07100523084948085,0.0642331942215405,-0.034562356553987206,-0.044576899473629084,0.6463365017293551,0.7073162467113796,338.4138746757574,313.2136215994285
