Model,N,R_squared,Adj_R_squared,F_statistic,Model_p_value,AIC,BIC
Model 1: WER ~ resource level,50,0.0268803797312271,-0.014528965812125,0.6491379996113594,0.5271162214106629,334.73406998047517,340.4701389967596
Model 2: WER ~ resource level + transcript/reference condition,50,0.0268923289931257,-0.0365712147681922,0.4237445216464119,0.736873608418961,336.73345600995117,344.3815480316637
Model 3: WER ~ resource level * transcript/reference condition,50,0.0710052308494807,-0.0345623565539872,0.6726044669194372,0.6463365017293556,338.4138746757574,349.8860127083263
